Предисловие 	 page 1
3. ИСТОРИЯ ИЗУЧЕНИЯ КАБАРДИНО-ЧЕРКЕССКИХ ДИАЛЕКТОВ И ГОВОРОВ 	 page 589
4. Классификация кабардино-черкесских диалектов и говоров 	 page 593
II. СТРУКТУРНЫЕ ОСОБЕННОСТИ КАБАРДИНО-ЧЕРКЕССКИХ ДИАЛЕКТОВ И ГОВОРОВ 	 page 594
III. ОТНОШЕНИЕ КАБАРДИНО-ЧЕРКЕССКОГО ЛИТЕРАТУРНОГО ЯЗЫКА К ДИАЛЕКТАМ И ГОВОРАМ 	 page 607
IV. Диалектологический словарь 	 page 610
V. Язык черкесов (адыгов КЧР). 	 page 663
Глава четвертая. УСТНО-ПОЭТИЧЕСКИЙ ЯЗЫК 	 page 684
1. Общая характеристика 	 page 684
2. Язык народного певца, его отличительные особенности 	 page 687
3. Варианты эпических сказаний 	 page 690
4. Эпическая традиция и литературный язык 	 page 693
5. Эпическая ономастика 	 page 696
6. Устно - поэтический язык как наддиалектная форма речи 	 page 704
Глава пятая. ОНОМАСТИКА 	 page 729
xviii
I. ТОПОНИМИКА 	 page 729
1. ТОПОНИМИЧЕСКИЕ ТЕРМИНЫ 	 page 729
2. СЕМАНТИЧЕСКИЕ РЯДЫ 	 page 737
В образовании сравнительных пар все более широкое участие принимают заимствованные из русского языка слова: Первэ Лэскэн – Второй Лэскэн, Верхнэ Къулъкъужын – Нижнэ Къулъкъужын, Урыху – Старэ Урыху и под. 	 page 743
3. ПОЛУЗНАМЕНАТЕЛЬНЫЕ И ФОРМАЛЬНЫЕ СРЕДСТВА ТОПОНИМИИ 	 page 743
Названия, в которых выступает топоформант –пI(э), следует разделить на две категории: 	 page 743
4. СТРУКТУРНО-ГРАММАТИЧЕСКИЕ ТИПЫ 	 page 746
4.1. Именные атрибутивные структуры 	 page 747
4.2. Глагольно-именные структуры 	 page 749
4.3. Названия, включающие причастия 	 page 751
4.4. Копулятивные и итеративные сложения 	 page 752
4.5. Простые (несложные) названия 	 page 752
5. ТОПОНИМЫ ИНОЯЗЫЧНОГО ПРОИСХОЖДЕНИЯ 	 page 753
5.1. Тюркский и монгольский слой 	 page 754
5.2. Славянский пласт названий и воздействие его на адыгскую топонимию 	 page 759
5.3. Иранский слой 	 page 763
5.4. Абхазо-абазинские и убыхские элементы 	 page 764
5.5 . Элементы других языков 	 page 767
6. ОТРАЖЕНИЕ В КАБАРДИНО-ЧЕРКЕССКОЙ ТОПОНИМИИ ЯЗЫКОВЫХ УНИВЕРСАЛИЙ 	 page 770
II. ТОПОНИМИЧЕСКИЙ СЛОВАРЬ 	 page 779
III. ЭТНОНИМИКА 	 page 818
IV. Кабардино-черкесские фамилии 	 page 827
Словарь 	 page 827
ЛИТЕРАТУРА 	 page 900
СОКРАЩЕНИЯ 	 page 921
(Footnotes) 	 page 924
